Destino,Departamento,Grado de Dificultad,Características,Costos Principales,Opciones de Alojamiento,Opciones de comer,Contacto Principal,Acceso / Ubicación,Coordenadas GPS,Sitio Web,Popularidad,
Agraciada - Playa de la Agraciada,Soriano,Fácil,"Lugar histórico del Desembarco de los 33 Orientales, cuenta con playa de río, camping arbolado y un gran obelisco conmemorativo.",Acceso libre y gratuito.,"Camping de la Agraciada ($), Cabañas en Nueva Palmira (A 15 km, $$), Hotel Plaza Dolores (A 35 km, $$)","Parador del Obelisco (Minutas y parrilla, $), Comidas para llevar La Estancia (A 3 km, $)",Tel: +598 4530 2001 | Correo: municipioagraciada@soriano.gub.uy,"Ruta 21, km 284, luego 5 km de camino asfaltado hacia la costa del Río Uruguay.","-33.808588, -58.425183",soriano.gub.uy,Moderada,
Aguas Buenas (Paraje),Durazno,Fácil,Pequeño nudo rural ganadero del centro del departamento con antiguas estancias ganaderas.,Acceso libre.,Cascos de estancias turísticas asociadas ($$$),Comidas criollas en almacenes locales ($),Tel: +598 4362 2201,"Ruta 100, km 40","-32.885146, -55.857043",durazno.gub.uy,Emergente,
Aguas Dulces,Rocha,Fácil,"Tradicional balneario de perfil pintoresco y familiar. Casitas de madera edificadas sobre la misma línea de la arena (""palafitos""), extensas playas de fuerte oleaje y ambiente de pueblo costero rioplatense.",Acceso libre.,"Cabañas Virazon Aguas Dulces ($$), Marazul ($$), Aguas Dulces Resort ($$), Terrazas Apartamentos ($$), Monoambiente Caracol chico ($)","Doña Tota (Av. Cachimba y Faroles, $$), Resto Pizzería Arenas (Av. Cachimba y Faroles, $$), El Chivito Veloz (Cachimba y Faroles, $)",Tel: +598 4475 4011 | Correo: turismorocha@rocha.gub.uy,"Ruta 16, km 0 (Acceso directo desde la ciudad de Castillos por Ruta 9).","-34.275618, -53.782758",turismorocha.gub.uy,Alta,
Algorta,Río Negro,Fácil,Pueblo forestal de arraigadas tradiciones criollas y pasado ferroviario. Ideal para vivir la experiencia del Uruguay profundo y adquirir artesanías en madera.,Acceso libre.,No se encontraron opciones de alojamiento específicas,No se encontraron opciones de comer específicas,Tel: +598 4567 2001 (Mesa de Turismo),"Ruta 25, km 70, cerca del límite con el departamento de Paysandú.","-32.423180, -57.395430",rionegro.gub.uy,Emergente,
Alto de la Ballena,Maldonado,Fácil,"Bodega boutique pionera sobre la Sierra de la Ballena, vistas panorámicas de la laguna del Sauce, degustación de cortes innovadores como Syrah-Viognier.",Tour básico y copa: ~$1200 UYU. Degustación completa: ~$2200 UYU.,"Hotel Las Cumbres (Punta Ballena, $$$), Posada del Viento (Maldonado, $$)","Restaurante Alto de la Ballena (en el lugar, $$$), Las Cumbres (Punta Ballena, $$$)",Tel: +598 94 240 365 | Correo: visitas@altodelaballena.com,"Ruta 12, km 16.400, Sierra de la Ballena.","-34.744756, -55.025088",altodelaballena.com,Alta,
Anfiteatro del Río Santa Lucía,Canelones,Fácil,"Gran escenario al aire libre junto al curso del río, sede del clásico festival ""Santa Lucía Canta"" y encuentros de teatro independiente.",Acceso libre para la mayoría de los eventos públicos de la comuna.,"Hotel Lamas ($$), Tierra Mora - Casa De Campo ($$$), Oriental ($)",Restaurantes y comercios en el centro de Santa Lucía ($$),Tel: +598 4334 6015 | Correo: municipiosantalucia@imcanelones.gub.uy,"Parque Municipal de la Ciudad de Santa Lucía, junto al puente viejo.","-34.540872, -55.930760",canelones.gub.uy,Emergente,
Anfiteatro del Río Uruguay,Paysandú,Fácil,"Gran escenario al aire libre frente al río con capacidad para 20.000 espectadores, sede de la Fiesta de la Cerveza.",Acceso libre salvo espectáculos.,Hoteles en la zona costera ($$),"Plaza de comidas del predio (En eventos, $$)",Tel: +598 4722 3551,Avenida de los Iracundos y Baldomero Vidal,"-32.297749, -58.090870",paysandu.gub.uy,Alta,
Anfiteatro Víctor Lima,Salto,Fácil,"Gran escenario al aire libre dentro del Parque Harriague, sede de festivales folclóricos y carnaval.",Acceso libre según evento.,Hoteles en la ciudad ($$),Puestos de comidas rápidas ($),Dirección de Cultura de Salto,Interior del Parque Harriague,"-31.398951, -57.962569",salto.gub.uy,Moderada,
Ansina (Villa de Ansina),Tacuarembó,Fácil,"Localidad ribereña a orillas del Río Tacuarembó Grande. Atractivo por sus extensas playas fluviales arboladas, un gran camping municipal y zonas ideales para la pesca del dorado.",Acceso libre y gratuito.,"Mini Hotel Para Mí ($$), Posada La Casona ($$), Camping Municipal de Villa Ansina ($), Casa de campo -el rancho- ($$)","Estación 44, LO DE KARINA-Viandas Saludables, Povedo Velho, Don Machuca, Carrito Avenida",Tel: +598 4630 5500 | Correo: juntaansina@tacuarembo.gub.uy,"Ruta 26, km 288 (Eje de conexión vial fundamental hacia el noreste del país).","-31.878826, -55.463184",tacuarembo.gub.uy,Emergente,
Antigua Bodega Stagnari,Canelones,Fácil,"Tradición familiar de seis generaciones en la zona de Santos Lugares, vinos jóvenes y de guarda muy premiados internacionalmente.",Cata básica: ~$1300 UYU. Copa de bienvenida con empanadas: ~$800 UYU.,"Hotel La Paz (a 3 km, $$), Loft en Melilla (a 6 km, $$)","La Cocina de la Cava (en bodega, $$$), Trattoria della Nonna (La Paz, $$)",Tel: +598 2362 2137 | Correo: turismo@antiguabodegastagnari.com.uy,"Ruta 5, km 20, Santos Lugares.","-34.743707, -56.268546",antiguabodegastagnari.com.uy,Alta,
Antiguo Molino de la Estación,San José,Fácil,"Estructura industrial del siglo XIX restaurada parcialmente, hito histórico visual.",Acceso libre exterior.,Hotel San José ($),Restaurante El Molino ($$),Tel: +598 4342 9000,"Barrio de la Estación, San José de Mayo","-34.332042, -56.713659",sanjose.gub.uy,Emergente,
Aramendía,Lavalleja,Fácil,Pequeño paraje rural escondido en las sierras que mantiene intactas las costumbres del gaucho gaucho.,Acceso libre.,Casas de campo de alquiler de fin de semana ($$),Venta de productos caseros en las estancias ($),Tel: +598 4442 2201,"Acceso por camino vecinal desde Ruta 8, km 160","-33.639263, -54.616111",lavalleja.gub.uy,Emergente,
Arapey Chico (Sitio Arqueológico),Salto,Moderado,"Área de investigación arqueológica con túmulos indígenas (""cerritos de indios"") y antiguos talleres líticos precoloniales.",Visitas antropológicas guiadas con previo aviso a la Intendencia.,"Altos del Arapey Club de Golf & Hotel Termal (Termas del Arapey, $$$), Arapey Thermal Resort & Spa (Termas del Arapey, $$$), Arapey Oasis Termal (Termas del Arapey, $$), Hotel Municipal Termas del Arapey (Sector público, $$)","Restaurante Dionisio (Termas del Arapey, $$$), Paradise Restaurante (Termas del Arapey, $$), Restaurante La Goleta (Termas del Arapey, $$), Snack Bar Carpe-Diem (Termas del Arapey, $)",Tel: +598 4732 6223 | Correo: turismo@salto.gub.uy,"Pistas vecinas al arroyo Arapey Chico, acceso por Ruta 4.","-30.984031, -57.001549",turismo.salto.gub.uy,Emergente,
Arapey Chico (Tramo Paysandú),Paysandú,Moderado,Zona norte serrana del departamento,,"Altos del Arapey Club de Golf & Hotel Termal ($$$), Arapey Thermal Resort & Spa ($$$), Arapey Oasis Termal Hotel ($$), Hotel Raices del Arapey ($$)","Restaurante La Goleta (Hotel Arapey Oasis, $$), Restaurante Dionisio (Altos del Arapey, $$$), Paradise Restaurante (Termas del Arapey, $$), Snack Bar Carpe-Diem (Termas del Arapey, $)",Tel: +598 4722 6220 | Correo: turismo@paysandu.gub.uy,"Norte del departamento, acceso por Ruta 3 y caminos rurales.","-32.316837, -58.080054",paysandu.gub.uy,Emergente,
Araújo (Pueblo),Paysandú,Fácil,Tranquilo caserío rural rodeado de llanuras arroceras y cultivos de secano en el norte departamental.,Acceso libre.,No hay suficientes hoteles comerciales ($),Almacenes de ramos generales rústicos ($),Tel: +598 4722 6220,Camino vecinal norte desde Ruta 26,"-31.997116, -57.744612",paysandu.gub.uy,Emergente,
Arbolito (Monumento Histórico),Cerro Largo,Fácil,Paraje histórico y serrano donde tuvo lugar la célebre Batalla de Arbolito en 1897. Cuenta con un obelisco conmemorativo tallado en piedra y vistas panorámicas de las lomerías bajas.,Acceso libre y gratuito.,"Parador Arbolito (Arbolito, $$), Restaurante Villa Juana (a 25 km en Fraile Muerto, $$), La Rural (a 48 km en Melo, $$), Forno's (a 48 km en Melo, $$)","Parador Arbolito (Arbolito, $$), Restaurante Villa Juana (a 25 km en Fraile Muerto, $$), La Rural (a 48 km en Melo, $$), Forno's (a 48 km en Melo, $$)",Tel: +598 4642 2112 | Correo: turismo@cerrolargo.gub.uy,"Ruta 7, km 395, a pocos minutos de la localidad de Fraile Muerto.","-32.617586, -54.222468",cerrolargo.gub.uy,Emergente,
Arbolito (Paraje Rural),Cerro Largo,Fácil,Pequeño caserío rural ganadero flanqueado por las lomas basálticas bajas del interior profundo.,Acceso libre.,Cascos de estancias turísticas asociadas ($$$),Venta de quesos artesanales de campo ($),Tel: +598 4642 2112,"Ruta 7, km 390","-32.606657, -54.207231",cerrolargo.gub.uy,Emergente,
Arbolito (Sitio Histórico),Paysandú,Fácil,"Lugar de la célebre batalla histórica uruguaya de 1897, monumento recordatorio y paisaje de cuchillas solitarias.",Acceso libre sobre la ruta.,No se encontraron opciones de alojamiento específicas,No se encontraron opciones de comer específicas,Oficina de turismo de Paysandú,"Ruta 26, km 180 (próximo al límite departamental).","-32.207028, -56.422739",paysandu.gub.uy,Emergente,
Arboretum Lussich,Maldonado,Moderado,Uno de los bosques artificiales con mayor diversidad de especies de árboles del mundo. Cuenta con la antigua casona de Antonio Lussich transformada en museo.,Acceso libre al bosque. Museo y senderos temáticos gratuitos.,"Alquileres vacacionales en Airbnb ($$-$$$), Cabañas en el Bosque Estancia CH ($$$), BDA Hotel & Spa ($$$), Emerald Apartments ($$$)","Cafetería de la Casona (En el Arboretum, $), Nonno Antonio (A 4 km, $$), Lapataia (A 1 km, $$), Las Terrazas de Casapueblo (A 3 km, $$$)",Tel: +598 4257 8072 | Correo: arboretolussich@maldonado.gub.uy,"Camino Lussich, Ruta 38 (cerca de la Ruta Interbalnearia), Punta Ballena.","-34.884929, -55.036013",arboretumlussich.uy,Alta,
Archivo y Museo Parroquial de Carmelo,Colonia,Fácil,Pequeño espacio cultural que preserva objetos históricos de la fundación de la ciudad y de las misiones.,Acceso gratuito.,Posada Campestre CampoTinto ($$$),"Restaurante Preview ($$), Pizzería Trouville ($$)",Tel: +598 4542 2119 | Parroquia,"Frente a la Plaza Independencia, Carmelo","-33.994465, -58.285154",carmelo.gub.uy,Emergente,
Arenal Grande y San Salvador,Soriano,Moderado,"Sitio histórico de enorme relevancia arqueológica, asociado al primer asentamiento español de la cuenca del Plata (Fuerte de Sancti Spíritus, 1527). Entorno de montes y ríos.",Acceso libre con fines interpretativos históricos.,"Hoteles en Mercedes ($$-$$$), Hospedajes en Villa Soriano ($$)","Restaurante Martiniano (Mercedes, $$), Restaurante Lo de Lucy (Villa Soriano, $$), El Retorno (Villa Soriano, $), Caramora Restaurante y Parrilla (Mercedes, $$)",Tel: +598 4530 4815 | Correo: turismo@soriano.gub.uy,Se accede por Ruta 21 conectando con caminos rurales que conducen a la desembocadura del Río San Salvador.,"-33.667615, -57.917627",soriano.gub.uy,Emergente,
Arenales de Paso del Palmar,Flores,Fácil,"Playas y extensos bancos de arena fina natural a orillas del río, entorno ideal para caminatas tranquilas y desconexión en la naturaleza.",Acceso gratuito.,No se encontraron opciones de alojamiento específicas,No se encontró información suficiente sobre opciones de comer específicas (se recomienda llevar provisiones),Intendencia de Flores (Turismo),"Zona norte del departamento de Flores, en las inmediaciones del Paso del Palmar.","-33.573375, -56.894503",geoparque.uy,Emergente,
Arroyo Asencio y Monolito Histórico,Soriano,Fácil,"Sitio del Grito de Asencio (revolución de 1811), parque natural apto para picnics, bajada de lanchas y pesca.",Acceso libre.,"Estancia Turística La Sirena ($$$), Hoteles en Mercedes ($$-$$$)","Parador Asencio (Fines de semana, $), Restaurantes en Mercedes a 10 km ($$)",Tel: +598 4532 2201 | Correo: turismo@soriano.gub.uy,"Ruta 95, km 10, puente sobre el Arroyo Asencio.","-33.510279, -57.749810",soriano.gub.uy,Emergente,
Arroyo Batoví,Tacuarembó,Moderado,"Pequeño curso de agua serrano pedregoso del centro, ideal para caminatas fotográficas solitarias.",Acceso libre respetando alambrados.,Estancias y chacras ganaderas linderas ($$$),Almuerzos caseros criollos ($$),Tel: +598 4632 4671,"Camino vecinal al oeste de Ruta 5, km 360","-31.150436, -55.441632",tacuarembo.gub.uy,Emergente,
Arroyo Bellaco,Río Negro,Fácil,"Paraje natural con un pequeño puente histórico, ideal para paradas de descanso fotográfico, observación de flora autóctona y pesca de costa.",Acceso libre.,No se encontraron opciones de alojamiento específicas,No se encontraron opciones de comer específicas en la zona (entorno agreste sin servicios complejos),Tel: +598 4567 2001 | Correo: turismo@rionegro.gub.uy,Kilómetro 295 de la Ruta Internacional Número 3.,"-32.687215, -58.018698",turismo.gub.uy,Emergente,
Arroyo Bequeló,Soriano,Fácil,"Arroyo de aguas tranquilas cercano a la capital departamental, preferido por remeros locales, avistamiento de flora autóctona y monte ribereño.",Acceso libre.,"Casas quintas de alquiler temporal ($$), Hoteles en Mercedes ($$-$$$)","Establecimiento El Bequeló (Venta de productos artesanales, $)",Tel: +598 4532 2201 | Correo: turismo@soriano.gub.uy,A 4 km al sur de Mercedes por continuación de la calle Zapicán.,"-33.223413, -57.988242",soriano.gub.uy,Moderada,
Arroyo Buricayupí,Paysandú,Moderado,"Pequeño curso de agua serrano pedregoso del noreste, ideal para caminatas fotográficas solitarias.",Acceso libre respetando alambrados.,Estancias y chacras ganaderas linderas ($$$),Almuerzos caseros criollos ($$),Tel: +598 4722 6220,"Camino vecinal norte desde Ruta 26, km 140","-31.997656, -57.538955",paysandu.gub.uy,Emergente,
Arroyo Campanero (Balneario),Lavalleja,Fácil,Pequeño curso de agua serrano con zonas poco profundas ideales para el disfrute familiar.,Acceso libre.,Hospedajes rurales y casas quintas ($$),Parador Las Sierras ($$),Tel: +598 4442 2201,"Ruta 108, a pocos km de Minas","-34.359757, -55.161861",turismolavalleja.gub.uy,Moderada,
Arroyo Caraguatá (Paseo Fluvial),Tacuarembó,Fácil,"Curso de agua calmo flanqueado por espesos montes nativos de sauces, talas y coronillas, apto para pesca.",Acceso libre por puentes públicos.,Camping rústico municipal junto al puente ($),Almacenes en Villa Caraguatá ($),Tel: +598 4630 2015,"Ruta 26, km 358 (Puente Caraguatá)","-32.256925, -55.400792",tacuarembo.gub.uy,Emergente,
Arroyo Casupá (Paso Costero),Florida,Fácil,"Curso fluvial claro flanqueado por espesos montes nativos de sauces, talas y coronillas.",Acceso libre por puentes públicos.,Camping rústico municipal de Casupá ($),Paradores en la localidad de Casupá ($),Tel: +598 4311 2012,Perímetro costero de Pueblo Casupá,"-33.956263, -55.600979",florida.gub.uy,Emergente,
Arroyo Catalán (Aventuras del Catalán),Artigas,Alto,Profundo cañón fluvial famoso por albergar los yacimientos de geodas más importantes. Exigente trekking de exploración silvestre entre saltos de agua y naturaleza virgen.,Acceso libre de carácter estrictamente de aventura,No se encontraron opciones de alojamiento específicas,Sin opciones específicas en el geositio; se recomienda buscar servicios en la ciudad de Artigas o llevar provisiones.,Tel: +598 4772 3000 | Correo: turismo@artigas.gub.uy,"Ruta 30,km 75 + 15 km por camino secundario bituminizado hacia el sureste del departamento.","-30.612492, -56.326491",artigas.gub.uy,Emergente,
Arroyo Ceibal (Entorno Salvaje),Treinta y Tres,Alto,"Curso de agua de difícil acceso, ideal para kayakistas experimentados y aventura.",Acceso libre por vías navegables.,No disponible en la zona ($),Llevar provisiones e hidratación ($),Asociación de Canotaje del Olimar,Se accede navegando desde el Río Cebollatí,"-33.232144, -54.386683",treintaytres.gub.uy,Emergente,
Arroyo Ceibal (Paso de los Carros),Salto,Fácil,"Punto de cruce natural rodeado de frondosos sauces, ideal para pasar el día en familia.",Acceso libre.,Hoteles en Salto Ciudad ($$),No hay comercios fijos ($),Intendencia de Salto,"Camino vecinal este, periferia de Salto","-31.405333, -57.962425",salto.gub.uy,Emergente,
Arroyo Chamangá (Paso de los Pictogramas),Flores,Moderado,"Cruce fluvial dentro de la localidad protegida, rodeado de rocas pintadas prehistóricas.",Costo de guiado eco-arqueológico.,Eco-posadas en la región ($$$),Comidas caseras por encargo ($),ONG Guardaparques Chamangá,"Área Protegida Chamangá, Ruta 14","-33.635140, -56.617740",geoparque.uy,Moderada,
Arroyo Chuy (Paseo Fluvial),Rocha,Fácil,Curso fluvial fronterizo ideal para pescar de costa y avistar flora ribereña sub-tropical.,Acceso libre.,Zonas de camping en Barra del Chuy ($),Paradores del Chuy fronterizo ($$),Tel: +598 4474 2011,Ruta nacional de acceso a la Barra,"-33.746700, -53.387571",turismorocha.gub.uy,Emergente,
Arroyo Chuy (Tramo Artigas),Artigas,Moderado,"Curso de agua calmo flanqueado por espesos montes nativos de sauces fuera del recinto urbano, apto para remo.",Acceso libre por puentes públicos.,Camping rústico fuera del área urbana ($),Paradores en el eje de la ciudad ($$),Tel: +598 4779 2011,Ruta 3 (Puente sobre el arroyo),"-30.404329, -56.469237",bellaunion.gub.uy,Moderada,
Arroyo Chuy del Tacuarí,Cerro Largo,Moderado,"Pequeño curso de agua serrano pedregoso, ideal para caminatas fotográficas y avistamiento de aves de monte.",Acceso libre respetando perímetros privados.,Estancias ganaderas linderas ($$$),Almuerzos caseros criollos ($$),Tel: +598 4642 2112,Camino vecinal al norte de la Posta del Chuy,"-32.614741, -53.822801",cerrolargo.gub.uy,Emergente,
Arroyo Conventos (Tramos de Canotaje),Cerro Largo,Moderado,"Curso de agua calmo flanqueado por espesos montes nativos fuera del recinto urbano, apto para remo.",Acceso libre por puentes públicos.,Camping rústico fuera del área urbana ($),Paradores en el eje de la ciudad ($$),Tel: +598 4642 2112,Ruta 26 (Puente sobre el arroyo),"-32.460071, -54.173189",cerrolargo.gub.uy,Moderada,
Arroyo Coquimbo,Soriano,Moderado,"Arroyo campestre con orillas de monte tupido, ideal para la pesca de línea de fondo y acampadas fuera de circuito tradicional.",Acceso libre respetando alambrados e ingresos rurales.,"Hospedajes en Palmitas (A 20 km, $), Hoteles en Cardona ($$)",Almacén de ramos generales km 210 ($),Tel: +598 4532 2201,"Ruta 2, km 212, desvío por camino de tierra 12 km hacia el oeste.","-33.388805, -57.848238",soriano.gub.uy,Emergente,
Arroyo Cordobés y Playas Salvajes,Durazno,Alto,"Entorno fluvial agreste e histórico en el límite norte del departamento. Playas solitarias rodeadas de plantaciones forestales y monte nativo virgen, ideal para la pesca de río y aventura.","Acceso libre de carácter agreste, sin servicios complejos.",No se encontraron opciones de alojamiento específicas (entorno agreste sin servicios complejos),Sin opciones específicas en la zona (entorno agreste sin servicios complejos),Tel: +598 4362 3891 | Correo: turismo@durazno.gub.uy,Se accede por Ruta 5 conectando con Ruta 100 en dirección al extremo norte del departamento.,"-33.378962, -56.524522",durazno.gub.uy,Emergente,
Arroyo Corrales (Playas Salvajes),Treinta y Tres,Alto,"Entorno fluvial de sierra agreste en el límite norte del departamento. Playas solitarias rodeadas de plantaciones forestales y monte nativo virgen, ideal para acampes de aventura.","Acceso libre de carácter agreste, sin servicios de red complejos.","Pinos de la Quebrada (Quebrada de los Cuervos, $$), Eco Suite (Treinta y Tres, $$), Casa Calamo Hotel (Treinta y Tres, $$), Hotel CENTRAL 33 (Treinta y Tres, $$)",Sin opciones específicas en la zona (se recomienda buscar servicios en la ciudad de Treinta y Tres),Tel: +598 4452 2112 | Correo: turismo@treintaytres.gub.uy,"Se accede por la Ruta 8 flanco norte, conectando con caminos vecinales secundarios de balasto.","-33.458521, -54.130174",treintaytres.gub.uy[cite: 1],Emergente,
Arroyo Cuareim (Paseo de la Costanera),Artigas,Fácil,Paseo fluvial parquizado que bordea el Río Cuareim (límite internacional con Brasil). Ideal para caminatas fotográficas,,"Hotel Casino San Eugenio del Cuareim ($$$), HAS Hotel Boutique ($$), HOTEL DEL NORTE ($$)","Restaurante Don Pedro, Plaza de Comidas de la Plaza Batlle, Restaurante Boi Brasino ($$)",Tel: +598 4772 3000 int. 180 | Correo: cultura@artigas.gub.uy,"Calle Gral. Artigas esq. Garzón,zona microcentro de la ciudad de Artigas.","-30.227331, -57.570071",artigas.gub.uy,Emergente,
Arroyo Cuaró Grande,Artigas,Moderado,"Extenso curso fluvial del interior profundo, flanqueado por densos montes nativos y excelentes zonas de campamento.",Acceso libre por puentes públicos.,Zonas de acampada rústica autorizada ($),Sin locales comerciales estables ($),Tel: +598 4772 3001,Eje vial de Ruta 4 (Puente sobre el arroyo),"-30.586132, -56.843144",artigas.gub.uy,Emergente,
Arroyo Cufré (Desembocadura),San José,Fácil,"Entorno natural donde el arroyo Cufré desemboca en el Río de la Plata. Zona de dunas, navegación, avistamiento de fauna fluvial y campamentos costeros.",Acceso libre. Alquiler de botes a pedal o lanchas pequeñas: ~$250 UYU.,"Alojamiento La Escollera ($$), Alojamiento Los Hermanos ($$), Complejo Brisas del Cufré (Apartamentos, $$), Alquileres temporales y cabañas en Airbnb ($-$$)","Parador (Boca del Cufré, $$), Parrillada La Criolla de los Bernasconi ($$), Decano Restaurante ($$), Magialmar Restaurante ($$)",Tel: +598 4342 9000 | Correo: turismo@sanjose.gub.uy,"Ruta 1, km 101, bajando hasta el Balneario Boca del Cufré y dirigiéndose al extremo oeste.","-34.372983, -57.135152",sanjose.gub.uy,Moderada,
Arroyo Curticeiras (Paso Público),Rivera,Fácil,Punto de encuentro junto al arroyo para jornadas de pesca y descanso campestre.,Acceso libre.,Cabañas Curticeiras ($$),Almacén de Ramos Generales ($),Tel: +598 4620 5011,"Ruta 5, km 490, Paraje Curticeiras","-31.000783, -55.592244",rivera.gub.uy,Emergente,
Arroyo de las Cañas,Cerro Largo,Moderado,"Pequeño curso de agua calmo rodeado de estancias tradicionales, ideal para canotaje rústico.",Acceso libre por puentes públicos.,Casas de veraneo rurales ($$),Sin restoranes formales ($),Tel: +598 4642 2112,"Ruta 7, km 410 (Límite con Rivera)","-32.372445, -53.715302",cerrolargo.gub.uy,Emergente,
Arroyo de las Cañas (Artigas),Artigas,Moderado,"Pequeño curso de agua calmo rodeado de estancias tradicionales, ideal para canotaje rústico menor.",Acceso libre por puentes públicos.,Casas de veraneo rurales ($$),Sin restoranes formales ($),Tel: +598 4772 3001,"Ruta 30, km 410 (Límite con Salto)","-30.925166, -57.038846",artigas.gub.uy,Emergente,
